CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	116054	11.605400348162009
GH23	85277.5	8.527750255832506
GT1	64752.4	6.475240194257205
GT2	60435.2	6.043520181305604
GH4	58488.8	5.848880175466405
GH73	55359.3	5.535930166077905
GH1	52611.1	5.261110157833304
GT51	41098.9	4.109890123296704
GT20	34362.9	3.436290103088703
GT9	34103.8	3.410380102311403
GH31	33475	3.3475001004250027
GH2	26716.7	2.6716700801501023
GH24	25127.7	2.512770075383102
GT5	23041.4	2.3041400691242018
GH25	19531.6	1.9531600585948015
GT28	19463.7	1.9463700583911017
CBM50	18080.3	1.8080300542409014
CBM48	17684.2	1.7684200530526015
GT35	17599.7	1.7599700527991016
GT26	16214.4	1.6214400486432012
AA3	16176.8	1.6176800485304015
GH8	15822.6	1.5822600474678015
GH104	15669.1	1.5669100470073014
GH32	14649.7	1.4649700439491014
GT56	14349.3	1.434930043047901
AA6	12724.8	1.272480038174401
GH103	12709.2	1.2709200381276011
GH3	12493.1	1.2493100374793011
GH37	11351.3	1.1351300340539008
GT83	11063.2	1.106320033189601
GH77	10838.2	1.083820032514601
CBM34	9853.38	0.9853380295601408
GH63	9486.26	0.9486260284587809
GH38	7643.38	0.7643380229301406
GH65	3683.64	0.36836401105092026
GT19	2007.41	0.2007410060222302