Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Escherichia coli GCA_000355595.1	1116017	GCA_000355595.1	Bacteria	93.46	0.107689	0.169579	10095089	9737528
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	1.08	0.636868	0.634793	58371	112524
s__Lactobacillus iners GCA_011058755.1	147802	GCA_011058755.1	Bacteria	1.04	0.906527	0.378505	29990	108357
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	0.93	0.963358	0.963358	61467	96896
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.61	0.301414	0.213413	41231	63555
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	0.61	0.5693	0.56949	25400	63555
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.4099999999999999	0.230276	0.135526	27452	42718
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.28	0.346686	0.163907	11989	29173
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.17	0.249106	0.249052	6540	17712
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	Bacteria	0.15	0.196215	0.180605	7027	15628
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	0.14	0.260629	0.261549	5351	14586
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.13	0.21154	0.211416	3962	13545
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.12	0.42828	0.423341	4869	12503
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.1	0.325633	0.296366	4000	10419
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.06	0.253722	0.126622	2436	6251
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	0.06	0.122194	0.106687	2672	6251
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	Bacteria	0.05	0.039213	0.034703	3026	5209
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	Bacteria	0.05	0.091756	0.089057	2369	5209
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	0.05	0.141422	0.124792	2644	5209
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.04	0.03101	0.017666	2713	4168
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.04	0.024392	0.014912	2196	4168
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.04	0.100035	0.096331	1851	4168
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.03	0.026395	0.015515	1321	3126
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	Bacteria	0.03	0.057111	0.014667	1445	3126
s__Porphyromonas asaccharolytica GCA_000183605.2	910312	GCA_000183605.2	Bacteria	0.03	0.03756	0.01586	1190	3126
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.03	0.060905	0.045606	1076	3126
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.03	0.041137	0.034954	1214	3126
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	0.02	0.071087	0.034323	867	2084
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.02	0.049959	0.01366	959	2084
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.02	0.065757	0.041489	623	2084
s__Anaerococcus lactolyticus GCA_000156575.1	525254	GCA_000156575.1	Bacteria	0.02	0.018613	0.018172	1023	2084
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.02	0.070991	0.019882	743	2084
s__Finegoldia magna_H GCA_000179695.1	866773	GCA_000179695.1	Bacteria	0.02	0.062968	0.025305	929	2084
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.02	0.050916	0.025518	871	2084
s__Streptococcus anginosus GCA_001812815.1	1739380	GCA_001812815.1	Bacteria	0.01	0.027799	0.013423	619	1042
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	0.01	0.030245	0.02631	559	1042
s__Prevotella corporis GCA_000430525.1	1122981	GCA_000430525.1	Bacteria	0.01	0.018823	0.018176	811	1042
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.01	0.040281	0.040403	673	1042
s__Peptoniphilus_B sp000478985 GCA_000478985.1	1111134	GCA_000478985.1	Bacteria	0.01	0.032766	0.032523	341	1042
s__Actinomyces urogenitalis GCA_000758745.1	1284679	GCA_000758745.1	Bacteria	0.01	0.017568	0.014544	356	1042
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	Bacteria	0.01	0.015799	0.015574	356	1042
s__Peptococcus niger GCA_900101835.1	2741	GCA_900101835.1	Bacteria	0.01	0.015208	0.015208	305	1042